Protocol,Chain,Asset,APY (%),TVL ($M)
aave-v3,Ethereum,WEETH,0.0,4606.3
aave-v3,Ethereum,WSTETH,0.0,3996.9
sparklend,Ethereum,WSTETH,0.0,1338.4
aave-v3,Ethereum,RSETH,0.0,1196.0
aave-v3,Ethereum,USDT,2.37,1022.2
spark-savings,Ethereum,USDT,3.16,870.8
aave-v3,Ethereum,USDC,2.35,736.4
aave-v3,Ethereum,WETH,1.77,661.9
morpho-v1,Base,STEAKUSDC,4.49,496.1
morpho-v1,Ethereum,WSTETH,0.0,472.5
spark-savings,Ethereum,USDC,3.75,409.9
aave-v3,Ethereum,OSETH,0.0,376.6
morpho-v1,Base,GTUSDCP,4.5,370.5
morpho-v1,Base,STEAKUSDC,4.5,271.6
aave-v3,Ethereum,WSTETH,0.03,213.2
morpho-v1,Ethereum,STEAKUSDC,4.49,190.0
aave-v3,Ethereum,SYRUPUSDT,0.0,168.5
morpho-v1,Ethereum,SYRUPUSDC,0.0,157.9
aave-v3,Base,WEETH,0.0,145.3
aave-v3,Arbitrum,WEETH,0.0,142.6
morpho-v1,Ethereum,STEAKUSDT,2.47,142.6
morpho-v1,Ethereum,SKYMONEYUSDTSAVINGS,3.69,129.8
aave-v3,Base,SYRUPUSDC,0.0,128.9
compound-v3,Ethereum,WETH,0.0,125.3
morpho-v1,Ethereum,BBQUSDCRESERVOIR,3.51,124.4
morpho-v1,Base,WETH,0.0,119.0
morpho-v1,Ethereum,GTUSDC,4.5,111.3
compound-v3,Ethereum,USDC,2.66,109.9
morpho-v1,Ethereum,WSTETH,0.0,108.8
morpho-v1,Ethereum,SYRUPUSDC,0.0,107.3
compound-v3,Ethereum,WSTETH,0.0,101.0
aave-v3,Ethereum,RETH,0.0,94.4
aave-v3,Arbitrum,USDC,1.64,93.3
aave-v3,Ethereum,USDTB,1.36,91.4
morpho-v1,Ethereum,WSTETH,0.0,91.2
aave-v3,Arbitrum,WSTETH,0.0,90.5
aave-v3,Arbitrum,EZETH,0.0,89.4
morpho-v1,Ethereum,AA-FALCONXUSDC,0.0,80.3
aave-v3,Base,USDC,2.75,78.7
morpho-v1,Ethereum,WEETH,0.0,78.0
aave-v3,Ethereum,TETH,0.0,75.1
aave-v3,Base,WRSETH,0.0,72.2
compound-v3,Ethereum,WSTETH,0.0,70.9
aave-v3,Arbitrum,WETH,1.5,68.3
compound-v3,Ethereum,EZETH,0.0,66.9
compound-v3,Ethereum,USDT,2.58,66.2
sparklend,Ethereum,USDT,2.35,65.7
aave-v3,Arbitrum,RSETH,0.0,65.2
morpho-v1,Ethereum,WEETH,0.0,63.7
sparklend,Ethereum,WETH,1.77,63.4
morpho-v1,Base,GTUSDCP,4.3,62.7
morpho-v1,Ethereum,BBQUSDC,5.4,61.8
morpho-v1,Ethereum,STEAKETH,1.63,58.4
aave-v3,Base,WETH,1.5,54.5
sparklend,Ethereum,WEETH,0.0,53.1
morpho-v1,Ethereum,GTUSDCP,4.91,53.1
compound-v3,Ethereum,WETH,0.0,52.8
morpho-v1,Ethereum,GTUSDTF,2.62,50.9
morpho-v1,Ethereum,STEAKUSDTBETHENA,1.89,50.2
morpho-v1,Ethereum,SENPYUSDCORE,2.16,50.1
morpho-v1,Ethereum,SENPYUSDCOREV2,2.21,50.1
morpho-v1,Ethereum,VBGTUSDT,2.85,50.1
morpho-v1,Ethereum,VBGTWETH,2.55,45.8
morpho-v1,Ethereum,GTWETH,1.7,45.7
morpho-v1,Ethereum,BBQUSDT,3.47,43.3
aave-v3,Base,WSTETH,0.0,43.1
morpho-v1,Ethereum,GUSDCQ,3.06,41.1
morpho-v1,Ethereum,GUSDTQ,2.36,38.5
morpho-v1,Arbitrum,BBQUSDT0,2.54,37.2
morpho-v1,Arbitrum,BBQUSDT0,2.26,37.2
morpho-v1,Ethereum,VBSHUSDC,4.53,36.9
compound-v3,Ethereum,ETH,1.62,35.4
sparklend,Ethereum,EZETH,0.0,35.1
morpho-v1,Base,STEAKUSDC,4.3,34.9
spark-savings,Ethereum,ETH,1.75,31.6
sparklend,Ethereum,RETH,0.0,30.7
morpho-v1,Ethereum,WEETH,0.0,30.6
compound-v3,Ethereum,WEETH,0.0,30.5
aave-v3,Ethereum,DAI,2.67,27.7
morpho-v1,Arbitrum,SYRUPUSDC,0.0,26.3
morpho-v1,Ethereum,STEAKETH,1.72,25.3
aave-v3,Ethereum,EZETH,0.0,23.8
morpho-v1,Ethereum,BBQUSDC,5.97,22.5
morpho-v1,Arbitrum,BBQUSDC,3.61,21.0
morpho-v1,Ethereum,SKYMONEYUSDCRISKCAPITAL,4.37,20.5
morpho-v1,Ethereum,OETH,0.0,18.9
morpho-v1,Base,BBQUSDC,5.26,18.1
morpho-v1,Ethereum,HUSDC,4.53,17.6
morpho-v1,Ethereum,ETH+,0.0,17.4
morpho-v1,Arbitrum,BBQUSDC,2.98,17.2
morpho-v1,Arbitrum,WSTETH,0.0,17.2
morpho-v1,Ethereum,UPGAMMAUSDC,0.0,16.5
morpho-v1,Ethereum,SYRUPUSDT,0.0,16.0
morpho-v1,Ethereum,HYPERUSDCA,5.2,15.0
morpho-v1,Ethereum,GTMSUSDC,2.32,14.9
compound-v3,Ethereum,WSTETH,0.0,14.6
morpho-v1,Ethereum,KPK-ETH-PRIME,2.28,14.2
morpho-v1,Ethereum,KPK-ETH-PRIMEV2,2.09,13.9
morpho-v1,Ethereum,REECOUSDC,5.18,13.6
morpho-v1,Base,WSTETH,0.0,13.4
morpho-v1,Ethereum,GTUSDT,2.9,13.1
morpho-v1,Ethereum,GTUSDCF,5.74,13.1
morpho-v1,Base,MWETH,1.73,13.0
morpho-v1,Base,MWUSDC,4.54,12.9
morpho-v1,Arbitrum,SYRUPUSDC,0.0,12.4
compound-v3,Ethereum,RSETH,0.0,12.3
morpho-v1,Base,SPARKUSDC,4.65,12.2
compound-v3,Ethereum,WEETH,0.0,12.1
morpho-v1,Ethereum,GTUSDCRWA,5.13,12.1
morpho-v1,Ethereum,STEAKUSDT,2.6,11.9
morpho-v1,Ethereum,SBMORPHOUSDC,4.52,11.4
morpho-v1,Ethereum,SPARKUSDCBC,4.55,11.0
morpho-v1,Ethereum,CSUSDC,7.57,10.9
morpho-v1,Ethereum,GTUSDCCORE,6.12,10.7
aave-v3,Ethereum,CBETH,0.0,10.4
morpho-v1,Ethereum,AUSDC,6.29,9.7
morpho-v1,Ethereum,BBQUSDT,6.2,9.7
compound-v3,Arbitrum,USDT,1.88,9.6
aave-v3,Base,CBETH,0.05,9.2
morpho-v1,Ethereum,HYPERUSDCA,5.6,9.0
morpho-v1,Ethereum,KPK-USDC-PRIME,4.08,8.9
morpho-v1,Ethereum,SAVETH,0.0,8.9
morpho-v1,Ethereum,KPK-USDC-PRIMEV2,4.53,8.7
aave-v3,Ethereum,WETH,1.58,8.6
morpho-v1,Ethereum,STEAKUSDC,4.9,8.3
aave-v3,Ethereum,TETH,0.0,7.9
compound-v3,Arbitrum,WSTETH,0.0,7.8
morpho-v1,Ethereum,AUGUSTUSDC,11.27,7.7
morpho-v1,Ethereum,AUGUSTUSDCV2,5.75,7.7
morpho-v1,Base,GTMSETHC,0.92,7.5
morpho-v1,Ethereum,API3COREUSDC,4.04,7.2
morpho-v1,Ethereum,API3COREUSDC,4.2,7.2
morpho-v1,Base,PUSDC,4.49,7.2
morpho-v1,Ethereum,CSUSDCCORE,6.64,7.1
compound-v3,Arbitrum,USDC,2.35,6.9
morpho-v1,Arbitrum,GTUSDCP,3.61,6.7
morpho-v1,Ethereum,GTMSETHC,7.36,6.7
morpho-v1,Ethereum,BBQWSTETH,0.44,6.6
morpho-v1,Ethereum,STEAKUSDCINFINIFI,7.2,6.6
morpho-v1,Ethereum,HUSDT,2.46,6.5
morpho-v1,Ethereum,AA-FALCONXUSDC,0.0,6.4
morpho-v1,Ethereum,MHYETH,2.53,6.4
morpho-v1,Base,WSUPEROETHB,0.0,6.3
morpho-v1,Ethereum,MCWETH,1.64,6.2
morpho-v1,Ethereum,USUALUSDC+,10.48,6.2
morpho-v1,Ethereum,KPK-USDC-YIELD,6.38,6.1
morpho-v1,Ethereum,KPK-USDC-YIELDV2,6.32,6.1
compound-v3,Arbitrum,WETH,0.0,5.9
morpho-v1,Ethereum,RETH,0.0,5.7
morpho-v1,Ethereum,SYRUPUSDC,0.0,5.4
morpho-v1,Base,PRIMEUSDC,4.23,5.2
compound-v3,Arbitrum,WSTETH,0.0,5.1
morpho-v1,Ethereum,YMVOG-WETH,2.01,5.1
compound-v3,Base,WETH,0.0,5.0
morpho-v1,Arbitrum,GTUSDCC,3.52,4.9
morpho-v1,Base,CBETH,0.0,4.7
morpho-v1,Ethereum,GTUSDTF,3.34,4.6
morpho-v1,Base,BBQUSDC,5.13,4.5
aave-v3,Ethereum,USDC,2.65,4.5
morpho-v1,Base,CSUSDC,5.45,4.4
compound-v3,Arbitrum,WETH,0.0,4.3
morpho-v1,Ethereum,YMVOG-USDC,6.62,4.3
morpho-v1,Ethereum,UPUSDC,0.0,4.2
morpho-v1,Ethereum,YNETHX,0.0,4.2
morpho-v1,Base,EXMWETH,2.1,4.1
morpho-v1,Ethereum,YNETHX,0.0,3.9
morpho-v1,Base,WSTETH,0.0,3.9
morpho-v1,Base,SMWETH,0.77,3.8
morpho-v1,Ethereum,WSTETH,0.0,3.8
compound-v3,Ethereum,TETH,0.0,3.7
compound-v3,Ethereum,WEETH,0.0,3.6
morpho-v1,Ethereum,AVGUSDCCONS,4.47,3.4
aave-v3,Ethereum,EZETH,0.0,3.3
morpho-v1,Base,CBETH,0.0,3.3
morpho-v1,Arbitrum,PT-USDAI-18JUN2026,0.0,3.3
morpho-v1,Ethereum,3F-STEAKUSDC,4.9,3.1
aave-v3,Ethereum,ETHX,0.0,2.9
morpho-v1,Ethereum,AWETH,2.73,2.9
morpho-v1,Ethereum,SVETH,7.81,2.9
morpho-v1,Ethereum,RE7WETH,1.9,2.8
aave-v3,Arbitrum,RETH,0.01,2.7
morpho-v1,Ethereum,WSTETH,0.0,2.7
morpho-v1,Base,WEETH,0.0,2.6
morpho-v1,Ethereum,YOG-USDC-V2,6.25,2.6
morpho-v1,Ethereum,ROXUSDCY,6.12,2.6
morpho-v1,Ethereum,WSTETH,0.0,2.5
aave-v3,Ethereum,USDC,2.02,2.5
morpho-v1,Ethereum,WEETH,0.0,2.5
morpho-v1,Base,YMVOG-USDC,5.07,2.4
morpho-v1,Base,GTWETHC,1.93,2.4
morpho-v1,Ethereum,KUSDC,5.49,2.3
morpho-v1,Ethereum,WSTETH,0.0,2.3
morpho-v1,Ethereum,WBRAVUSDC,0.0,2.2
morpho-v1,Ethereum,HYPERETHA,1.96,2.1
morpho-v1,Ethereum,ALPHAUSDCASIAV2,10.48,2.1
morpho-v1,Ethereum,KABUUSDC,4.66,2.0
morpho-v1,Ethereum,KABUUSDC,5.18,2.0
morpho-v1,Base,RE7USDC,7.88,2.0
morpho-v1,Arbitrum,KPK-USDC-YIELD,3.8,2.0
compound-v3,Base,USDC,2.92,1.9
sparklend,Ethereum,USDC,4.14,1.9
morpho-v1,Ethereum,SYRUPUSDC,0.0,1.9
compound-v3,Base,WSUPEROETHB,0.0,1.9
compound-v3,Base,WSTETH,0.0,1.9
morpho-v1,Ethereum,GTDAICORE,1.9,1.8
compound-v3,Base,CBETH,0.0,1.8
morpho-v1,Ethereum,KUSDC,5.71,1.8
morpho-v1,Ethereum,MHYPERETH,0.0,1.7
morpho-v1,Base,CBETH,0.0,1.7
morpho-v1,Ethereum,BBQDAI,1.56,1.7
morpho-v1,Base,WSTETH,0.0,1.6
aave-v3,Arbitrum,DAI,1.81,1.6
morpho-v1,Base,GTUSDCC,4.64,1.6
morpho-v1,Ethereum,CRONOSUSDC,4.53,1.6
morpho-v1,Ethereum,WSTETH,0.0,1.6
morpho-v1,Base,WETH,0.0,1.5
morpho-v1,Ethereum,AVGUSDCDYN,4.81,1.5
compound-v3,Base,WETH,1.58,1.5
compound-v3,Arbitrum,WEETH,0.0,1.5
morpho-v1,Arbitrum,KPK-USDC-YIELDV2,4.34,1.4
morpho-v1,Ethereum,HGETH,0.0,1.4
morpho-v1,Base,CBETH,0.0,1.3
morpho-v1,Arbitrum,HYPERUSDCA,4.28,1.3
morpho-v1,Ethereum,KPK-ETH-YIELD,3.04,1.2
morpho-v1,Base,RE7USDC,6.97,1.2
morpho-v1,Ethereum,RSETH,0.0,1.2
morpho-v1,Ethereum,GTEUSDC,10.34,1.2
morpho-v1,Base,EDGEUSDC,4.58,1.2
morpho-v1,Ethereum,KPK-ETH-YIELDV2,2.93,1.2
morpho-v1,Ethereum,SKYMONEYUSDTRISKCAPITAL,3.35,1.2
morpho-v1,Base,GTUSDCF,5.27,1.1
morpho-v1,Ethereum,CSYUSDC,15369.3,1.1
morpho-v1,Base,GTWETHB,1.84,1.0
morpho-v1,Ethereum,GROVE-BBQUSDC,5.12,1.0
morpho-v1,Ethereum,GROVE-BBQUSDC,5.51,1.0
